Name,Address,Province,City,Postal Code,Telephone,Email,Find or become a mentor to a newcomer,Francophone service provider,Help finding a job,Help preparing for the citizenship test,Help with daily life,Job-specific language training,Language assessment,Language training (general),Other Services,Services for LGBTQ2,Services for refugees,Services for seniors,Services for women,Services for youth
A & O: Support Services for Older Adults,200 - 280 Smith Street ,Manitoba,Winnipeg,R3C 1K2,204-956-6440,amacrae@ageopportunity.mb.ca,False,False,False,True,False,False,False,False,True,False,False,True,False,False
Accès emploi Alberta,202-8627 Marie-Anne-Gaboury ST,Alberta,Edmonton,T6C 3N1,780-490-6975,ae@accesemploi.net,False,True,True,False,True,True,False,False,True,False,False,True,True,True
ACCES Employment,2001 Sheppard Ave E. Suite 201,Ontario,Toronto,M2J 4Z8,416-443-9008, ,False,False,True,False,True,True,False,False,False,False,False,False,False,False
Acces Employment,2085 Hurontario Street Suite 210,Ontario,Mississauga,L5A 4G1,905-361-2522, ,False,False,True,False,True,True,False,False,False,False,False,False,False,True
ACCES Employment,2100 Ellesmere Road Suite 250,Ontario,Toronto,M1H 3B7,416-431-5326, ,False,False,True,False,True,True,False,False,False,False,False,False,False,False
Acces Employment,44 Peel Centre Drive Suite 201,Ontario,Brampton,L6T 4BS,905-454-2316, ,False,False,True,False,True,False,False,False,False,False,False,False,False,True
ACCES Employment,489 College Street Suite 100,Ontario,Toronto,M6G 1A5,416-921-1800, ,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Access Alliance Multicultural Health & Community Services,3079 Danforth Avenue,Ontario,Toronto,M1L 1A8,416-693-8677, ,True,False,True,True,True,False,False,False,False,True,True,True,True,True
Access Alliance Multicultural Health & Community Services,340 College Street Suite 500,Ontario,Toronto,M5T 3A9,416-324-8801, ,True,False,True,True,True,False,False,False,False,True,True,True,True,True
Access Alliance Multicultural Health & Community Services,761 Jane Street 2nd Floor,Ontario,Toronto,M6N 4B4,416-760-8677, ,True,False,True,True,True,False,False,False,False,True,True,True,True,True
Achēv,1003 Giffard Street,Ontario,Whitby,L1N 2S4,905-666-1255,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,1400 Bayly Street Unit 5,Ontario,Pickering,L1W 3R2,1-877-761-1155,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,16655 Yonge Street,Ontario,Newmarket,L3X 1V6,289-841-3032,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,263 Queen Street East Unit 14,Ontario,Brampton,L6W 3J3,905-595-0722,info@achev.ca,False,False,True,False,True,False,True,False,False,False,False,False,False,False
Achēv,272 King Street East,Ontario,Oshawa,L1H 1C9,905-579-1821,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,320 Bayfield Street,Ontario,Barrie,L4M 3C1,705-725-8990 ext. 45200,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,425 Holland Street West,Ontario,Bradford,L3Z 0J2,905-775-3328,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,458 Fairall Street,Ontario,Ajax,L1S 1R6,1-877-761-1155,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,50 Burnhamthorpe Road West Suite 300,Ontario,Mississauga,L5B 3C2,905-949-0049,info@achev.ca,False,False,True,False,True,False,True,False,True,False,False,False,False,False
Achēv,690 Dorval Drive Suite 100,Ontario,Oakville,L6K 3X9,905-875-3851,info@achev.ca,False,False,True,False,True,False,True,False,True,False,False,False,False,False
Achēv,7220 Kennedy Road,Ontario,Markham,L3R 7P2,905-479-7926,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,7420 Airport Road Suite 104,Ontario,Malton,L4T 4E5,905-677-0007,info@achev.ca,False,False,True,False,True,False,True,False,True,False,False,False,False,False
Achēv,8400 Woodbine Avenue,Ontario,Markham,L3R 4N7,1-877-761-1155,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,9100 Jane Street,Ontario,Vaughan,L4K 0A4,1-877-761-1155,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,9325 Yonge Street,Ontario,Richmond Hill,L4C 0A8,1-877-761-1155,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Achēv,Doncrest Market Place 420 Highway 7 East,Ontario,Richmond Hill,L4B 3K2,1-855-330-8655,info@achev.ca,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Action for Healthy Communities Society of Edmonton,200-10578 113 St NW,Alberta,Edmonton,T5H 3H5,780-944-4687, ,True,False,True,False,True,False,False,False,False,False,False,False,False,True
Actions interculturelles de développement et d'éducation (AIDE) inc.,465 Rue Lawford  ,Quebec,Sherbrooke,J1G 2C2,819-822-4180,aide@aide.org,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Adult Language and Learning,16 George Street,Ontario,Blenheim,N0P 1A0,519-676-3174, ,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Adult Language and Learning,187 Brown Street,Ontario,Dresden,N0P 1M0,519-354-2940, ,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Adult Language and Learning,2 Queen Street,Ontario,Tilbury,N0P 2L0,519-354-7424, ,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Adult Language and Learning,209 James Street,Ontario,Wallaceburg,N8A 2N4,519-354-7424, ,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Adult Language and Learning,240 King Street West,Ontario,Chatham,N7M 1E7,519-354-7424, ,True,False,True,True,True,False,False,True,False,False,False,False,False,True
Adult Language and Learning,285 McNaughton Avenue West,Ontario,Chatham,N7L 2G7,519-354-7424, ,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Adult Language and Learning,35 Talbot Road West,Ontario,Wheatley,N0P 1A0,519-354-2940, ,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Adult Language and Learning,54 Main Street,Ontario,Ridgetown,N0P 2C0,519-948-5545, ,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Afghan Women's Counselling and Integration Community Support Organization,2555 Eglinton Avenue East Unit 211,Ontario,Toronto,M1K 5J1,416-266-2936,aniazi@afghanwomen.org,True,False,True,True,True,False,False,True,False,False,False,True,True,True
Afghan Women's Counselling and Integration Community Support Organization,747 Don Mills Road Unit 30,Ontario,Mississauga,M3C 1T2,416-422-2225,aniazi@afghanwomen.org,True,False,True,True,True,False,False,True,False,False,False,True,True,True
Afghan Women's Counselling and Integration Community Support Organization,789 Don Mills Road Suite 700,Ontario,Toronto,M3C 1T5,416-588-3585,aniazi@afghanwomen.org,True,False,True,True,True,False,False,False,False,False,False,True,True,True
Afghan Women's Organization,3050 Confederation Parkway Unit 302,Ontario,Mississauga,L5B 3Z6,905-279-3679, ,False,False,False,False,True,False,False,True,True,False,False,False,True,True
Agape Language Centre,16 Bermuda Drive NW,Alberta,Calgary,T3K 1H7,403-516-1846,nwoodburn@agapelanguagecentre.com,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Agincourt Community Services Association,1911 Kennedy Road,Ontario,Scarborough,M1P 2L9,416-321-6912, ,True,False,True,True,True,False,False,True,False,False,True,True,True,True
Agincourt Community Services Association,2219 Lawrence Avenue East,Ontario,Scarborough,M1P 2P5,416-321-6912, ,True,False,True,False,True,False,False,False,False,False,True,True,True,True
Agincourt Community Services Association,3030 Lawrence Avenue East,Ontario,Scarborough,M1P 2T7,416-321-6912, ,True,False,True,False,True,False,False,False,False,False,True,True,True,True
Agincourt Community Services Association,545 Markham Road,Ontario,Scarborough,M1H 2A1,416-321-6912, ,True,False,True,False,True,False,False,False,False,False,True,True,True,True
Alberta International Medical Graduate School,1409 Edmonton Trail NE Suite 202,Alberta,Calgary,T2E 3K8,587-524-2750,calgary@aimga.ca,True,False,False,False,False,False,False,False,True,False,False,False,False,True
Alberta International Medical Graduate School,420-10055 106 Street NW ,Alberta,Edmonton,T5J 2Y2,587-524-2750,edmonton@aimga.ca,True,False,False,False,False,False,False,False,True,False,False,False,False,True
Alberta Somali Community Centre,Unit 101 - 9219 111 Avenue  ,Alberta,Edmonton,T5G 0A2,780-757-3334,albertasomalicommunitycentre@gmail.com,False,False,True,False,False,False,False,False,True,False,False,False,True,False
Algonquin and Lakeshore Catholic District School Board ,151 Dairy Avenue,Ontario,Napanee,K7R 4B2,613-354-2255,info@alcdsb.on.ca,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Algonquin Lakeshore Catholic District School Board,161 Bridge Street West,Ontario,Belleville,K8P 1K2,613-544-3361, ,True,False,False,False,False,False,False,True,False,False,True,False,False,False
Alliance for South Asian AIDs Prevention,120 Carlton Street Unit 315,Ontario,Toronto,M5A 4K3,416-420-9577,settlementmanager@asaap.ca,False,False,True,True,True,False,False,False,False,True,False,False,False,False
Alliance for South Asian AIDs Prevention,315-120 Carlton Street,Ontario,Toronto,M5A 4K3,416-420-9577,settlementmanager@asaap.ca,False,False,True,False,True,False,False,False,True,True,False,False,False,False
Altered Minds Inc.,400-259 Portage Avenue ,Manitoba,Winnipeg,R3B 2A9,204-944-0133,information@entryprogram.ca,False,False,False,False,True,False,False,False,True,False,False,False,False,False
Archway Community Services Society,2420 Montrose Avenue,British Columbia,Abbotsford,V2S 3S9,604-859-7681,hello@archway.ca,True,False,True,False,True,True,False,True,True,False,True,False,True,True
Assemblée communautaire fransaskoise (A.C.F.) Inc.,29 11 Street East 2nd floor,Saskatchewan,Prince Albert,S6V 0Z8,604-859-7681,acf@fransaskois.sk.ca ,True,True,False,False,True,False,False,False,True,False,False,False,True,True
Assemblée communautaire fransaskoise (A.C.F.) Inc.,403 3rd Ave NW,Saskatchewan,Moose Jaw,S6H 1K4,306-500-5304,acf@fransaskois.sk.ca ,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Assiniboine Community College,1430 Victoria Avenue East,Manitoba,Brandon,R7A 2A9,204-725-8744,esl@assiniboine.net,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ASSIST Community Services Centre,2-810 Saddleback Road NW,Alberta,Edmonton,T6J 4W4,780-429-3119, ,False,False,True,False,True,False,False,True,False,False,False,False,False,False
Association canadienne-française de l'Ontario - Conseil régional des Mille-Îles (ACFOMI),760 Highway 15,Ontario,Kingston,K7I 0C3,613-546-7863,info@acfomi.org,False,True,False,False,True,False,False,False,True,False,True,True,True,True
Association des francophones de la région de York,90 Walton Drive  ,Ontario,Aurora,L4G3K4,289-552-4297,info@afry.ca,True,True,True,False,True,False,True,False,True,False,True,False,False,False
Association des francophones du Nord-Ouest,234 Van Norman Street,Ontario,Thunder Bay,P7A 4B8,888-248-1712, ,False,True,True,False,True,False,False,False,True,False,True,False,False,False
Association for New Canadians (ANC),118 Humphrey Road,Newfoundland and Labrador,Labrador City,A2V 2L3,709-722-9680,settlement@nfld.net,True,False,True,True,True,True,True,True,True,True,True,True,True,True
Association for New Canadians (ANC),144 Military Road,Newfoundland and Labrador,St. John's,A1C 2E6,709-722-9680,settlement@nfld.net,True,False,True,True,True,False,True,True,False,True,True,True,True,True
Association for New Canadians (ANC),28 Hardy Avenue,Newfoundland and Labrador,Grand Falls-Windsor,A2A 2P8,709-722-9680,settlement@nfld.net,True,False,True,True,True,True,True,True,True,True,True,True,True,True
Association for New Canadians (ANC),32 Main Street,Newfoundland and Labrador,Forteau,A0K 2P0,709-722-9680,settlement@nfld.net,True,False,True,True,True,True,True,True,True,True,True,True,True,True
Association for New Canadians (ANC),6 Hillcrest Road,Newfoundland and Labrador,Happy Valley-Goose Bay,A0P 1E0,709-722-9680,settlement@nfld.net,True,False,True,True,True,True,True,True,True,True,True,True,True,True
Association for New Canadians (ANC),9 Main Street Suite 203,Newfoundland and Labrador,Corner Brook,A2H 1C2,709-722-9680,settlement@nfld.net,True,False,True,True,True,True,True,True,True,True,True,True,True,True
Association franco-yukonnaise,302 Strickland Street,Yukon,Whitehorse,Y1A 2K1,867-668-2663, ,False,True,True,False,True,False,False,False,True,False,False,False,True,False
Atlantic Region Association of Immigrant Serving Agencies (ARAISA),2132B-6960 Mumford Road,Nova Scotia,Halifax,B3L 4P1,902-431-3203,INFO@ARAISA.CA,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Aurora College,4509 Franklin Avenue,Northwest Territories,Yellowknife,X1A 2B9,867-920-3279,info@auroracollege.nt.ca,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Aurora Family Therapy Centre Inc.,515 Portage Avenue  ,Manitoba,Winnipeg,R3B 2E9,204-786-9251,aurora@uwinnipeg.ca,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Back in Motion,110 - 7525 King George Highway,British Columbia,Surrey,V3W 5A8,Inquiries Line: 604-575-3800; Reception: 604-575-3800, ,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Battlefords Immigration Resource Centre,761C 106th Street,Saskatchewan,North Battleford,S9A 1V9,306-446-0622,immigration2@accesscomm.ca,True,False,True,False,True,False,False,False,False,False,False,False,False,False
Big Brothers Big Sisters of Peel,71 West Drive Unit 23,Ontario,Brampton,L6T 5E2,905-457-7288, ,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Bilingual Economic Development Network of Newfoundland and Labrador,65 Ridge Road Unit 245,Newfoundland and Labrador,St. John's,A1B 4P5,709-726-5976,info@rdeetnl.ca,False,True,True,False,True,False,False,False,True,False,True,True,True,True
Black Coalition for AIDS Prevention,20 Victoria Street 4th Floor,Ontario,Toronto,M5C 2N8,416-977-9955, ,False,False,True,False,True,False,False,False,True,True,False,False,True,False
Board of Education of School District No 43,1195 Lansdowne Drive,British Columbia,Coquitlam,V3B 7Y8,604-937-8054, ,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Board of Education of School District No 43,1600 King Albert Ave,British Columbia,Coquitlam,V3J 1Y5,604-936-4201, ,False,False,False,False,True,False,False,True,True,False,False,False,False,True
Board of Education of School District No 43,3000 Pinewood Avenue,British Columbia,Coquitlam,V3B 7Y7,604-464-2513, ,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Board of Education of School District No 43,380 Montgomery Street,British Columbia,Coquitlam,V3K 5G2,604-936-4261, ,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Board of Governors of Red River College,339 River Road,Manitoba,Arborg,R0C 0A0,204-793-1104,kbedard106@rrc.ca,False,False,True,False,True,False,False,True,True,False,False,False,True,True
Board of Governors of Red River College,430 Third Street,Manitoba,Steinbach,R5G0K5,204-793-1104,steinbach-ltc@rrc.ca,False,False,True,False,True,False,False,True,True,False,False,False,True,True
Board of Governors of Red River College,436 7 St E The Pas,Manitoba,Thompson,R9A 1T4,204-793-1104,thompsonLTC@rrc.ca,False,False,True,False,True,False,False,True,True,False,False,False,True,True
Board of Governors of Red River College,C212-2055 Notre Dame Avenue ,Manitoba,Winnipeg,R3H 0J9,204-632-2288,cle@rrc.ca,False,False,False,False,True,True,True,True,False,False,False,False,False,False
Bow Valley College,121 - 104 1st Avenue North West,Alberta,Calgary,T4B 0R2,403-355-1910,bvcairdrie@bowvalleycollege.ca,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Bow Valley College,229 Bear Street,Alberta,Calgary,T1L 1A9,403-760-2485, ,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Bow Valley College,2nd Floor 710 Centre Street SE ,Alberta,Calgary,T1V 0H3,403-441-2399, ,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Bow Valley College,335 - 6th Avenue South East,Alberta,Calgary,T2G 4S6,403-410-3413,info@bowvalleycollege.ca,False,False,True,False,False,False,False,True,False,False,False,False,False,True
Boys & Girls Club of Moncton,15 Everett Street,New Brunswick,Moncton,E1C 3Z6,506-858-0949, ,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Boys and Girls Clubs Big Brothers & Big Sisters Society of Edmonton & Area,9425 109A Avenue NW,Alberta,Edmonton,T5H 1G1,780-424-8181, ,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Boys and Girls Clubs of Calgary,731 13th Avenue NE,Alberta,Calgary,T2E 1C8,403-276-9981,info@bgcc.ab.ca,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Bradford Immigrant & Community Services,11 Holland Street East PO Box 1564,Ontario,Bradford,L3Z 2B8,905-775-3343,inquiries@bradfordimmigrant.ca,True,False,False,False,True,False,False,True,True,False,True,False,False,False
Brampton Multicultural Community Centre,197 County Court Boulevard Suite 303,Ontario,Brampton,L6W 4P6,905-790-8482, ,False,False,True,False,True,False,False,False,False,False,False,True,True,True
Brampton Multicultural Community Centre,4120 Ridgeway Drive Unit 43,Ontario,Mississauga,L5L 5S9,905-790-8482, ,True,False,True,False,True,False,False,False,False,False,True,True,True,True
Brampton Multicultural Community Centre,Civic Centre 150 Central Park Drive Suite 107,Ontario,Brampton,L6T 2T9,905-790-8482, ,True,False,True,False,True,False,False,False,False,False,True,True,True,True
Bredin Centre for Career Advancement Bredin Institute,500 9707 110 Street NW,Alberta,Edmonton,T5K 2L9,780-425-3730, ,False,False,True,False,True,False,False,False,False,False,False,False,False,False
Bredin Centre for Learning,500 - 5010 43 Street ,Alberta,Red Deer,T4N 6H2,780-425-3730, ,False,False,False,False,False,False,False,True,False,False,False,False,False,False
