PT,SPO,Address-1,Address-2
Alberta,Catholic Social Services,12431 Stony Plain Road N.W.,Edmonton Alberta T5N 3N3
British Columbia,S.U.C.C.E.S.S.,28 West Pender Street,Vancouver BC V6B 1R6
Manitoba,Manitoba Interfaith Immigration Council Inc.,521 Bannatyne Avenue,Winnipeg MB R3A 0E4
New Brunswick,MAGMA-AMGM,22 Church St Suite C170,Moncton NB E1C 0P7
Newfoundland and Labrador,Association for New Canadians,P.O. Box 2031 Station C,St. John's NL, A1C 5R6
Nova Scotia,YMCA of Greater Halifax/Dartmouth,Donations & Fund Development 5657 Spring Garden Rd. Park Lane Terraces Suite 700,Halifax NS B3J 3R4
Ontario,Canadian Ukrainian Immigrant Aid Society,2383 Bloor street West 2nd floor,Toronto Ontario M6S 1P6
Prince Edward Island,Immigrant and Refugee Services Association for PEI,49 Water Street,Charlottetown PE C1A 1A3
Quebec,Service d’interprète d’aide et de référence aux immigrants,#499-6767 ch de la Côte-des-Neiges,Montréal QC H3S2T6
Saskatchewan,Ukrainian Canadian Congress of Saskatchewan,#2-604 22nd St West,Saskatoon SK S7M 5W1
Northern Territories,Yukon Tourism Education Council - Multicultural Centre of the Yukon,4141D 4th Ave,Whitehorse Yukon Y1A 1J1

