PT,SPO,Address-1,Address-2
Alberta,Catholic Social Services,8212 118 Ave NW, Edmonton AB T5B 0S3
British Columbia,S.U.C.C.E.S.S.,28 West Pender Street,Vancouver BC V6B 1R6
Manitoba,Immigrant Centre Manitoba Inc.,100 Adelaide St, Winnipeg MB R3A 0W2
New Brunswick,Saint John YMCA,191 Churchill Blvd, Saint John NB E2K 3E2
Newfoundland and Labrador,Association for New Canadians,P.O. Box 2031 Station C,St. John's NL A1C 5R6
Nova Scotia,YMCA of Greater Halifax/Dartmouth,Donations & Fund Development 5657 Spring Garden Rd. Park Lane Terraces Suite 700,Halifax NS B3J 3R4
Ontario,TNO-The Neighbourhood Organization,1 Leaside Park drive,Toronto ON M4H 1R1
Prince Edward Island,Immigrant and Refugee Services Association for PEI,49 Water Street,Charlottetown PE C1A 1A3
Quebec,Centre social d’aide aux immigrants,6201 Laurendeau St, Montreal QC H4E 3X8
Saskatchewan,SAISIA,104-407 Ludlow St., Saskatoon SK S7J 0J1
